name_key,Y_t1,Y_t2,delta_Y,dose,NAME
finley,0.8834731525373317,0.8576610603684558,-0.025812092168875922,2575.657894736842,Finley School District
franklin pierce,0.860615421749886,0.8870377403607219,0.026422318610835882,4051.053379862996,Franklin Pierce School District
freeman,0.93440946545241,0.9467842304789106,0.01237476502650059,3977.777777777778,Freeman School District
goldendale,0.848867154109951,0.8929914492338009,0.044124295123849966,3906.7796610169494,Goldendale School District
grand coulee dam,0.7528195213393675,0.8029567131905131,0.050137191851145624,2038.781163434903,Grand Coulee Dam School District
grandview,0.8175711365310855,0.8969579572078537,0.07938682067676817,1185.3250606959805,Grandview School District
granger,0.7991234156062491,0.8156313812273488,0.016507965621099685,1026.955950032873,Granger School District
granite falls,0.7997972695556745,0.820572090135435,0.020774820579760434,4433.284813197477,Granite Falls School District
highland,0.7946814181212176,0.8705900253508263,0.07590860722960868,2257.926306769494,Highland School District
highline,0.7688805940006544,0.8308022315042676,0.061921637503613125,4384.548477871578,Highline School District
hockinson,0.9210473795669064,0.9376064991436286,0.01655911957672218,4278.014941302028,Hockinson School District
hoquiam,0.7829436437719018,0.8337273869471162,0.05078374317521439,2801.0594467333726,Hoquiam School District
inchelium,0.71,0.6413214285714272,-0.06867857142857281,1131.455399061033,Inchelium School District
issaquah,0.8974321271704211,0.9109981332727727,0.013566006102351591,6369.6055335572155,Issaquah School District
kalama,0.9134968034913168,0.8915666062472567,-0.02193019724406009,3062.7027027027025,Kalama School District
kelso,0.8407224858496092,0.8523430495255726,0.011620563675963425,2380.430450378637,Kelso School District
kennewick,0.766648266212037,0.7686420396580544,0.001993773446017477,2525.428491149199,Kennewick School District
kent,0.8169938115107582,0.8457895546473178,0.028795743136559526,4110.317975340688,Kent School District
kettle falls,0.8575192726129237,0.8840529028626225,0.026533630249698792,1904.6052631578948,Kettle Falls School District
kiona benton city,0.771103276627965,0.8449509711260859,0.0738476944981209,2610.398379473329,Kiona-Benton City School District
kittitas,0.8414181531029308,0.8511765715047177,0.009758418401786928,3541.6036308623297,Kittitas School District
la center,0.8594498522991837,0.8862593526495183,0.02680950035033458,3247.115968427444,La Center School District
la conner,0.7982085004171814,0.7704640445990905,-0.02774445581809093,6470.494417862839,La Conner School District
lake chelan,0.7880821983811358,0.8597405934301308,0.07165839504899496,3807.6388888888887,Lake Chelan School District
lake stevens,0.909275714859486,0.9000300040779563,-0.009245710781529692,3091.4918414918416,Lake Stevens School District
lake washington,0.914820127100926,0.9173593088840195,0.002539181783093536,6186.867962418418,Lake Washington School District
lakewood,0.8603067309835554,0.8839479751159005,0.02364124413234514,4935.2890422778255,Lakewood School District
liberty,0.8362499999999999,0.817919117647055,-0.01833088235294489,4726.457399103139,Liberty School District
lind,0.66,0.6776190476190476,0.017619047619047534,5801.047120418848,Lind School District
longview,0.7710829430166677,0.8567124526430852,0.08562950962641747,3616.1233993015135,Longview School District
lyle,0.764222222222216,0.7083888925321096,-0.05583332969010646,4207.1713147410355,Lyle School District
lynden,0.8853979932318983,0.852130465376756,-0.03326752785514231,2751.4600908500975,Lynden School District
mabton,0.8113549913466891,0.8666538862824483,0.055298894935759235,618.9979123173277,Mabton School District
manson,0.8795465447824808,0.9266546116445276,0.047108066862046716,3296.4071856287424,Manson School District
mary walker,0.8392110720256953,0.8295961423656539,-0.009614929660041405,4987.603305785124,Mary Walker School District
marysville,0.7381181376822928,0.7860061659674437,0.04788802828515082,3905.591608142946,Marysville School District
mead,0.9035713029681866,0.9243025315623536,0.020731228594167095,3030.692868719611,Mead School District
medical lake,0.8901814231128897,0.9381149495171224,0.04793352640423265,1769.5128339444736,Medical Lake School District
mercer island,0.934890577992302,0.9366394881418372,0.0017489101495351544,7648.08988764045,Mercer Island School District
meridian,0.7968670736419019,0.8506206235833482,0.05375354994144632,3456.299659477866,Meridian School District
